-0.434,3.8766,0.0142
-0.2703,3.9873,0.0342
-0.1066,4.0941,0.0542
0.0569,4.1968,0.0742
0.2204,4.2956,0.0942
0.3838,4.3904,0.1142
0.5471,4.4813,0.1342
0.7103,4.5681,0.1542
0.8735,4.651,0.1742
1.0366,4.73,0.1942
1.1996,4.8049,0.2142
1.3625,4.876,0.2342
1.5253,4.943,0.2542
1.688,5.0061,0.2742
1.8507,5.0653,0.2942
2.0133,5.1205,0.3142
2.1758,5.1717,0.3342
2.3383,5.219,0.3542
2.5007,5.2623,0.3742
2.663,5.3017,0.3942
2.8252,5.3372,0.4142
2.9873,5.3687,0.4342
3.1494,5.3963,0.4542
3.3114,5.42,0.4742
3.4733,5.4397,0.4942
3.6352,5.4555,0.5142
3.797,5.4673,0.5342
3.9587,5.4752,0.5542
4.1204,5.4792,0.5742
4.2819,5.4793,0.5942
4.4435,5.4755,0.6142
4.6049,5.4677,0.6342
4.7663,5.456,0.6542
4.9276,5.4404,0.6742
5.0888,5.4208,0.6942
5.2499,5.3974,0.7142
5.411,5.37,0.7342
5.572,5.3387,0.7542
5.733,5.3036,0.7742
5.8938,5.2645,0.7942
6.0546,5.2215,0.8142
6.2153,5.1746,0.8342
6.376,5.1238,0.8542
6.5366,5.0691,0.8742
6.6971,5.0104,0.8942
6.8575,4.9479,0.9142
7.0179,4.8815,0.9342
7.1781,4.8113,0.9542
7.3383,4.7371,0.9742
7.4985,4.659,0.9942
7.6585,4.5771,1.0142
7.8185,4.4912,1.0342
7.9784,4.4015,1.0542
8.1382,4.3079,1.0742
8.2979,4.2104,1.0942
8.4575,4.1091,1.1142
8.6171,4.0038,1.1342
8.7766,3.8947,1.1542
8.936,3.7818,1.1742
9.0953,3.665,1.1942
9.2545,3.5443,1.2142
9.4137,3.4197,1.2342
9.5727,3.2913,1.2542
9.7317,3.1591,1.2742
9.8906,3.023,1.2942
10.0494,2.883,1.3142
10.2081,2.7392,1.3342
10.3667,2.5916,1.3542
10.5252,2.4401,1.3742
10.6836,2.2848,1.3942
10.8419,2.1257,1.4142
11.0002,1.9627,1.4342
11.1583,1.7959,1.4542
11.3163,1.6253,1.4742
11.4743,1.4509,1.4942
11.6321,1.2727,1.5142
11.7898,1.0906,1.5342
11.9474,0.9048,1.5542
12.105,0.7151,1.5742
12.2624,0.5217,1.5942
12.4197,0.3244,1.6142

